Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup
/QF_BV/bruttomesso/simple_processor/simple_processors_006_006_0008.smt2,17073,17073,0.043723820243030787,0.002757997252047062,0.0027792276814579964,0.059307881421567725
/QF_BV/bruttomesso/simple_processor/simple_processors_006_002_0008.smt2,6207,6621,0.02061555627733469,0.0026012114249169827,0.002889511175453663,0.1106659842666568
/QF_BV/bruttomesso/simple_processor/simple_processors_008_007_0032.smt2,24775,24775,0.0620474168099463,0.002458144910633564,0.002379292156547308,0.03815412815687933
/QF_BV/bruttomesso/simple_processor/simple_processors_006_002_0032.smt2,6269,6677,0.013375586830079556,0.002449613995850086,0.0026521021500229836,0.15283638201933805
/QF_BV/bruttomesso/simple_processor/simple_processors_006_003_0004.smt2,8819,9376,0.0414895941503346,0.0024942359887063503,0.0026112007908523083,0.05655761969898001
/QF_BV/bruttomesso/simple_processor/simple_processors_006_004_0004.smt2,11470,12222,0.04688425175845623,0.00246846629306674,0.002612920943647623,0.049870854400575065
/QF_BV/bruttomesso/simple_processor/simple_processors_006_004_0008.smt2,11478,12231,0.04701373726129532,0.0025484981015324593,0.0024324837140738964,0.051540806380369286
/QF_BV/bruttomesso/simple_processor/simple_processors_008_004_0008.smt2,14083,14083,0.03502022288739681,0.0025885398499667645,0.0026442119851708412,0.0687263690195997
/QF_BV/bruttomesso/simple_processor/simple_processors_008_004_0016.smt2,14215,14215,0.03482804633677006,0.0026859943754971027,0.0025197970680892467,0.07191832594938077
/QF_BV/bruttomesso/simple_processor/simple_processors_004_002_0008.smt2,4901,5172,0.0212516812607646,0.0024664951488375664,0.002484635915607214,0.10391229315442521
/QF_BV/bruttomesso/simple_processor/simple_processors_004_002_0032.smt2,4939,5228,0.017013937700539827,0.0025012758560478687,0.0024027428589761257,0.12882098195832006
/QF_BV/bruttomesso/simple_processor/simple_processors_002_002_0016.smt2,3615,3676,0.016774208284914494,0.002532847225666046,0.0029452741146087646,0.12844390001470224
/QF_BV/bruttomesso/simple_processor/simple_processors_008_007_0016.smt2,24727,24727,0.05988524528220296,0.002543417736887932,0.0029602437280118465,0.04047096739870269
/QF_BV/bruttomesso/simple_processor/simple_processors_006_006_0016.smt2,17201,17201,0.04241984989494085,0.0028534200973808765,0.0025840201415121555,0.06340388271207818
/QF_BV/bruttomesso/simple_processor/simple_processors_008_006_0032.smt2,21219,21219,0.049197422340512276,0.0025375979021191597,0.0026335320435464382,0.04895911974369569
/QF_BV/bruttomesso/simple_processor/simple_processors_006_005_0008.smt2,14241,14241,0.04078876692801714,0.002522318158298731,0.002513787243515253,0.05824871549856365
/QF_BV/bruttomesso/simple_processor/simple_processors_004_002_0016.smt2,4933,5222,0.01612857263535261,0.002785137854516506,0.002927693072706461,0.14615339107801406
/QF_BV/bruttomesso/simple_processor/simple_processors_008_008_0004.smt2,28051,28051,0.08448569616302848,0.0026806537061929703,0.0028813909739255905,0.030682649428277912
/QF_BV/bruttomesso/simple_processor/simple_processors_004_004_0016.smt2,9000,9544,0.033568757120519876,0.0025734701193869114,0.002386061940342188,0.07157510972397615
/QF_BV/bruttomesso/simple_processor/simple_processors_004_004_0008.smt2,8938,9439,0.034532185178250074,0.00249673705548048,0.00253082811832428,0.06736465369131893
/QF_BV/bruttomesso/simple_processor/simple_processors_004_004_0004.smt2,8928,9435,0.03543900977820158,0.0025075660087168217,0.00264695193618536,0.0658396400101823
/QF_BV/bruttomesso/simple_processor/simple_processors_008_002_0008.smt2,7515,8085,0.02349812863394618,0.0024286238476634026,0.0025927401147782803,0.09308328791398078
/QF_BV/bruttomesso/simple_processor/simple_processors_004_003_0004.smt2,6895,7291,0.032524627167731524,0.002545997966080904,0.002536647953093052,0.07261566949026088
/QF_BV/bruttomesso/simple_processor/simple_processors_006_003_0032.smt2,8915,9478,0.04062536032870412,0.0023854123428463936,0.0024526240304112434,0.05537427942219021
/QF_BV/bruttomesso/simple_processor/simple_processors_004_003_0032.smt2,6957,7335,0.03210502117872238,0.002481296192854643,0.0024014930240809917,0.07190805128189558
/QF_BV/bruttomesso/simple_processor/simple_processors_008_008_0032.smt2,28377,28377,0.08825194090604782,0.0023581120185554028,0.0024023628793656826,0.02601213533267274
/QF_BV/bruttomesso/simple_processor/simple_processors_008_006_0008.smt2,20985,20985,0.05163364624604583,0.002565968781709671,0.0025916299782693386,0.047320529472177485
/QF_BV/bruttomesso/simple_processor/simple_processors_008_006_0016.smt2,21177,21177,0.04799777502194047,0.002413253765553236,0.002441663760691881,0.04784458003097734
/QF_BV/bruttomesso/simple_processor/simple_processors_006_005_0016.smt2,14347,14347,0.04269801126793027,0.0024214042350649834,0.002505477052181959,0.053566756129916564
