Benchmark,Size_Before,Size_After,Haploid_Time,Z3_Time_Before,Z3_Time_After,Z3_Speedup,Z3_Speedup_with_Haploid,Result_Before,Result_After
/QF_BV/bruttomesso/core/ext_con_040_064_0256.smt2,442877,442637,0.7885006191208959,1.4277659952640533,1.435308218933642,0.9947452236599105,0.6420362986384706,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_064_001_0032.smt2,12641,12641,0.1371530294418335,0.17348826117813587,0.1726186377927661,1.0050378301931324,0.5600520626269797,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_016_002_0032.smt2,6173,6165,0.14637991040945053,0.0339388083666563,0.03268664889037609,1.0383079795203136,0.1895318059349631,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_016_0064.smt2,54276,52572,0.2107791118323803,0.07672014366835356,0.06969014834612608,1.100875023070865,0.2735420759463071,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_024_256_1024.smt2,1100427,1100283,1.4855013526976109,8.854661683551967,8.818646323867142,1.0040840009182987,0.8593298506086606,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_004_0016.smt2,13939,13726,0.09614796284586191,0.029900849796831608,0.030031285248696804,0.9956566809983314,0.23697121553953082,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_024_002_0032.smt2,9085,9020,0.11705354042351246,0.0445089815184474,0.04751654900610447,0.9367048417747954,0.2704560814951913,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_032_004_0016.smt2,22027,21525,0.13062683306634426,0.03705875016748905,0.042952180840075016,0.8627908861128815,0.2134978724298338,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_064_004_0032.smt2,44304,43456,0.22864541038870811,0.182745561003685,0.19294401071965694,0.947142957804531,0.4334680896955244,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_008_0512.smt2,28705,27909,0.1402692999690771,1.6409392254427075,0.8803240237757564,1.8640173176288344,1.6078286887294704,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_012_004_0512.smt2,9114,9198,0.11630579177290201,0.5022437861189246,0.1689586630091071,2.972583809401078,1.7606251942700848,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_032_256_1024.smt2,1461371,1461179,1.9150306293740869,14.601416266523302,14.448497307486832,1.010583727551877,0.8923146843922185,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_064_002_0016.smt2,23450,23419,0.1569404099136591,0.07613143790513277,0.09312514401972294,0.8175175319890934,0.30444592111000757,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_002_0032.smt2,7629,7608,0.12050416599959135,0.04535674396902323,0.038143851794302464,1.1890971109477242,0.2858954344323926,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_028_016_0512.smt2,78984,81056,0.24589050095528364,2.826170716434717,1.7950102901086211,1.5744593398758164,1.3847663388681708,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_036_002_0016.smt2,13342,13312,0.10805797670036554,0.04687910433858633,0.04671227838844061,1.0035713511714943,0.30289479274740105,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_016_004_0256.smt2,11875,12003,0.12763496302068233,0.3709028009325266,0.18344404827803373,2.021885171059757,1.1923105946108472,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_048_002_0256.smt2,18550,18460,0.12819573562592268,1.821207033470273,1.8059638049453497,1.0084404950327255,0.9416012460545846,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_016_1024.smt2,57103,55501,0.21190593019127846,5.7828545877709985,2.37833534181118,2.4314714944138895,2.232554415018027,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_016_064_0256.smt2,179765,179669,0.41165772546082735,0.41581088583916426,0.42194374557584524,0.9854652194730101,0.498812562461123,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_008_001_0032.smt2,1838,1838,0.11708040069788694,0.022522551007568836,0.023036470636725426,0.9776910431610438,0.16074117836804142,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_060_008_0064.smt2,81046,80686,0.24450042471289635,0.3109085327014327,0.3138719778507948,0.9905584271343559,0.556812140560562,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_016_016_0256.smt2,45212,43902,0.19865377061069012,0.40055170841515064,0.16991402674466372,2.357378705508963,1.0867789082206756,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_044_002_0512.smt2,17255,17196,0.12357621546834707,5.4119245344772935,3.7164388140663505,1.4562124671590713,1.4093498314075785,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_032_004_0032.smt2,22384,21882,0.12857245933264494,0.06317705102264881,0.07109030056744814,0.8886873528226049,0.31641880065296724,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_024_032_0128.smt2,131025,130881,0.31172205228358507,0.24393855221569538,0.24643902946263552,0.9898535664079166,0.43703970089159144,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_004_002_0256.smt2,1919,1906,0.1165414983406663,0.029182991944253445,0.029955890960991383,0.9741987638510099,0.19920486012321878,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_004_002_0512.smt2,1940,1927,0.11673447676002979,0.042837935499846935,0.040908350609242916,1.0471684842304065,0.2717404668180722,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_052_032_0512.smt2,289964,289652,0.6146733434870839,7.141313357278705,7.184322073124349,0.9940135317698889,0.9156709262923912,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_028_032_1024.smt2,158220,158052,0.3483264744281769,10.456789393909276,10.598622326739132,0.9866177953645892,0.9552241070858241,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_040_004_0512.smt2,29246,28626,0.1603534910827875,5.038392088375986,3.6197342788800597,1.3919231910953576,1.3328770110609114,unsat,unsat
/QF_BV/bruttomesso/core/ext_con_020_064_0512.smt2,225892,225772,0.5281561212614179,1.6735227769240737,1.662149479612708,1.0068425237626737,0.7640590318794738,unsat,unsat
